iso3,timestamp,psychology_trust,psychology_fear,psychology_optimism,psychology_nationalism,psychology_social_cohesion,psychology_confidence,society_education,society_urbanization,society_population,society_age,society_religion,society_healthcare,society_migration
ESP,1999-04-01,82.08,4.85,91.49,56.12,81.92,63.66,67.25,5.01,84.8,5.06,43.39,87.05,13.69
ESP,1999-05-01,81.54,4.7,91.78,55.63,81.57,63.26,67.33,5.02,84.72,4.95,43.36,87.04,13.94
ESP,1999-06-01,81.54,5.33,91.94,55.92,81.87,63.46,67.37,4.99,84.79,4.99,43.4,87.28,14.16
ESP,1999-07-01,81.84,5.1,92.21,55.71,81.59,63.71,67.55,5.01,84.75,4.98,43.35,87.21,14.26
ESP,1999-08-01,81.43,5.05,92.51,55.44,81.49,63.28,67.51,4.91,84.8,4.98,43.41,87.27,14.5
ESP,1999-09-01,81.77,4.68,92.64,55.91,81.28,63.68,67.65,4.97,84.79,5.02,43.4,87.46,14.7
ESP,1999-10-01,81.84,5.16,92.18,55.32,81.77,63.37,67.65,5.05,84.81,4.97,43.46,87.58,14.95
ESP,1999-11-01,81.49,5.06,92.53,55.68,82.38,63.53,67.69,4.98,84.78,5.04,43.47,87.58,15.04
ESP,1999-12-01,81.59,5.48,92.66,55.69,81.9,63.37,67.67,4.99,84.71,4.98,43.55,87.54,15.22
ESP,2000-01-01,81.46,4.98,92.94,55.67,82.11,63.19,67.79,5.01,84.88,4.97,43.4,87.79,15.49
ESP,2000-02-01,81.69,4.77,92.63,55.72,81.84,63.8,67.94,4.99,84.76,4.85,43.38,87.77,15.36
ESP,2000-03-01,81.9,5.03,93.42,55.41,81.56,63.16,67.91,4.99,84.78,4.97,43.35,87.87,15.27
ESP,2000-04-01,81.88,5.3,92.91,56.14,82.07,63.57,68.07,4.97,84.74,4.97,43.38,87.87,15.19
ESP,2000-05-01,81.81,4.72,92.82,55.62,82.05,63.36,68.02,5.02,84.82,5.04,43.32,87.83,14.99
ESP,2000-06-01,81.34,4.97,92.86,55.31,81.94,62.6,68.11,5.09,84.89,5.1,43.31,87.96,14.95
ESP,2000-07-01,81.53,4.57,93.29,55.7,82.17,63.07,68.1,5.08,84.85,5.1,43.36,88.09,14.84
ESP,2000-08-01,81.57,5.23,92.82,56.09,81.81,63.39,68.17,4.98,84.87,5.0,43.37,88.02,14.64
ESP,2000-09-01,81.78,5.36,92.77,55.43,82.3,62.94,68.1,5.07,84.78,4.97,43.4,88.13,14.69
ESP,2000-10-01,81.32,4.97,92.9,56.1,81.44,63.33,68.3,5.13,84.85,4.97,43.36,88.23,14.55
ESP,2000-11-01,81.79,5.01,92.58,55.61,82.23,63.04,68.3,4.98,84.79,4.94,43.4,88.28,14.34
ESP,2000-12-01,82.54,5.07,93.29,55.49,82.13,63.21,68.3,5.07,84.81,5.09,43.43,88.31,14.38
ESP,2001-01-01,81.62,4.75,93.11,55.79,81.64,62.65,68.44,4.99,84.81,5.04,43.39,88.4,14.18
ESP,2001-02-01,81.9,5.36,92.79,55.62,81.89,62.82,68.44,5.0,84.78,5.02,43.41,88.51,14.28
ESP,2001-03-01,81.4,4.48,93.46,55.71,81.68,62.86,68.42,5.01,84.77,5.0,43.43,88.52,14.49
ESP,2001-04-01,81.28,5.04,92.92,55.67,81.75,62.62,68.55,5.0,84.82,5.02,43.41,88.41,14.66
ESP,2001-05-01,81.58,5.18,92.49,55.41,82.14,62.98,68.55,4.94,84.73,5.03,43.35,88.46,14.73
ESP,2001-06-01,81.62,4.94,92.43,55.76,81.97,62.96,68.61,4.97,84.84,5.07,43.3,88.56,14.84
ESP,2001-07-01,81.79,4.29,92.75,56.02,82.13,62.57,68.69,4.99,84.82,5.02,43.45,88.46,14.94
ESP,2001-08-01,81.76,5.02,93.34,55.82,81.98,63.23,68.7,5.13,84.75,5.07,43.41,88.56,15.11
ESP,2001-09-01,81.54,5.12,92.77,55.33,81.74,62.44,68.82,4.94,84.78,5.1,43.36,88.55,15.15
ESP,2001-10-01,81.58,5.62,92.59,55.52,81.64,62.83,68.76,4.93,84.85,5.01,43.45,88.61,15.27
ESP,2001-11-01,81.52,4.87,93.31,55.89,81.75,63.15,68.8,5.01,84.77,4.94,43.47,88.63,15.37
ESP,2001-12-01,82.06,5.23,93.05,55.73,81.93,63.19,69.0,4.96,84.71,5.04,43.47,88.64,15.47
ESP,2002-01-01,81.82,5.09,92.9,56.0,81.97,62.62,68.94,5.07,84.77,4.99,43.37,88.77,15.62
ESP,2002-02-01,81.27,4.92,93.24,55.9,81.85,62.92,69.06,4.99,84.72,4.95,43.37,88.74,15.59
ESP,2002-03-01,81.1,5.27,93.13,55.75,81.78,62.54,69.05,5.04,84.82,5.04,43.46,88.73,15.44
ESP,2002-04-01,80.88,4.56,93.58,56.11,81.19,62.11,68.97,5.04,84.7,5.08,43.39,88.7,15.39
ESP,2002-05-01,81.18,4.97,92.93,55.57,81.09,62.21,69.19,4.98,84.75,4.99,43.3,88.74,15.38
ESP,2002-06-01,81.28,4.51,93.01,55.64,81.05,62.18,69.21,4.97,84.83,4.95,43.31,88.79,15.28
ESP,2002-07-01,80.59,4.87,92.44,55.79,81.06,61.94,69.23,5.04,84.83,5.0,43.49,88.78,15.16
ESP,2002-08-01,80.64,5.26,92.95,55.95,80.52,62.29,69.29,4.98,84.78,4.99,43.43,88.82,15.21
ESP,2002-09-01,80.15,4.65,92.87,55.65,80.54,61.81,69.26,5.05,84.71,5.04,43.39,88.81,14.95
ESP,2002-10-01,79.88,5.01,92.77,55.45,80.22,61.53,69.26,4.99,84.78,5.06,43.34,88.88,14.9
ESP,2002-11-01,79.84,5.28,92.84,55.58,80.21,61.48,69.34,4.84,84.82,4.97,43.44,88.9,14.83
ESP,2002-12-01,79.72,5.04,92.96,55.59,79.67,61.19,69.45,4.96,84.81,4.91,43.34,88.81,14.81
ESP,2003-01-01,79.55,4.9,93.15,55.85,79.79,60.93,69.46,5.01,84.78,5.02,43.37,88.91,14.69
ESP,2003-02-01,79.63,4.78,93.23,55.35,79.66,61.23,69.54,5.09,84.83,4.96,43.39,89.0,14.71
ESP,2003-03-01,79.77,4.69,93.3,56.16,79.81,61.04,69.56,5.01,84.84,4.97,43.43,89.04,14.67
ESP,2003-04-01,80.11,5.15,93.02,55.91,79.97,60.87,69.72,4.94,84.73,4.95,43.36,89.04,14.69
ESP,2003-05-01,79.96,5.24,93.59,55.74,79.97,61.01,69.6,5.03,84.78,5.02,43.39,89.21,14.75
ESP,2003-06-01,80.33,4.74,92.72,55.46,79.64,60.72,69.68,5.08,84.77,5.01,43.35,89.21,14.7
ESP,2003-07-01,79.9,4.96,92.97,55.88,80.02,60.97,69.7,4.92,84.83,5.03,43.41,89.28,14.68
ESP,2003-08-01,80.65,5.1,93.16,55.75,79.83,61.19,69.85,5.05,84.81,4.98,43.39,89.31,14.75
ESP,2003-09-01,80.21,4.84,93.4,55.66,79.3,60.74,69.91,4.96,84.77,5.03,43.34,89.38,14.63
ESP,2003-10-01,80.85,5.15,93.19,55.83,80.04,61.16,69.88,5.02,84.74,4.94,43.38,89.44,14.66
ESP,2003-11-01,81.05,5.41,93.45,56.25,80.07,60.99,69.94,4.98,84.77,4.95,43.37,89.54,14.7
ESP,2003-12-01,80.67,4.87,93.6,55.91,79.39,61.02,69.98,5.09,84.82,4.95,43.37,89.5,14.56
ESP,2004-01-01,81.25,4.99,93.35,55.67,79.57,60.98,70.05,5.02,84.72,5.05,43.4,89.71,14.66
ESP,2004-02-01,80.79,4.97,93.71,55.62,79.98,61.25,70.05,5.02,84.74,5.09,43.47,89.65,14.7
ESP,2004-03-01,80.5,4.47,93.69,55.74,80.02,61.22,70.14,4.94,84.85,4.94,43.41,89.71,14.78
ESP,2004-04-01,80.56,4.57,93.25,56.18,80.2,61.39,70.2,4.97,84.79,5.01,43.42,89.82,14.75
ESP,2004-05-01,81.12,5.1,93.78,55.6,80.22,62.01,70.27,5.0,84.8,5.05,43.45,89.8,14.82
ESP,2004-06-01,80.87,5.3,93.25,55.84,80.08,61.74,70.32,4.95,84.81,5.03,43.4,89.81,14.91
ESP,2004-07-01,81.04,4.71,93.4,55.26,80.57,62.19,70.25,4.95,84.78,5.04,43.43,89.92,14.81
ESP,2004-08-01,81.3,5.3,93.14,55.95,80.29,62.96,70.36,5.01,84.69,4.94,43.42,89.9,14.95
ESP,2004-09-01,80.77,5.17,93.43,56.1,80.19,63.11,70.34,4.94,84.76,5.0,43.32,89.96,15.08
ESP,2004-10-01,80.85,4.73,93.8,55.59,80.44,63.01,70.45,5.06,84.78,5.06,43.38,90.04,15.14
ESP,2004-11-01,81.28,4.63,93.26,55.66,80.31,63.72,70.5,5.08,84.78,5.01,43.42,90.09,15.19
ESP,2004-12-01,81.17,5.39,93.37,56.25,79.8,63.85,70.56,5.01,84.67,4.94,43.36,90.16,15.2
ESP,2005-01-01,81.47,5.02,93.27,56.01,79.98,63.96,70.64,5.04,84.77,5.05,43.49,90.15,15.28
ESP,2005-02-01,80.82,4.99,93.3,56.07,80.34,64.23,70.7,4.95,84.77,5.0,43.42,90.2,15.2
ESP,2005-03-01,81.43,4.83,93.64,55.63,80.54,64.13,70.75,5.0,84.78,5.04,43.37,90.34,15.23
ESP,2005-04-01,80.89,5.23,93.8,55.57,80.45,64.03,70.72,5.01,84.85,4.97,43.4,90.45,15.41
ESP,2005-05-01,81.04,4.59,93.47,56.05,80.62,64.07,70.73,4.93,84.75,4.97,43.43,90.52,15.32
ESP,2005-06-01,81.51,5.24,93.89,55.38,80.15,64.44,70.67,5.04,84.83,5.0,43.47,90.51,15.33
ESP,2005-07-01,80.99,4.78,93.8,55.62,80.42,64.16,70.79,5.0,84.83,5.06,43.45,90.67,15.34
ESP,2005-08-01,81.35,4.98,93.53,55.84,80.56,63.64,70.86,5.0,84.79,5.05,43.42,90.65,15.39
ESP,2005-09-01,80.98,5.07,93.69,55.83,80.73,64.13,70.84,5.0,84.79,5.01,43.36,90.74,15.41
ESP,2005-10-01,81.18,4.79,93.88,56.03,80.31,63.78,70.96,5.0,84.79,5.01,43.4,90.72,15.49
ESP,2005-11-01,81.6,4.79,93.98,55.74,80.39,63.84,71.02,4.98,84.79,5.04,43.34,90.9,15.51
ESP,2005-12-01,81.26,4.77,93.98,55.7,80.44,63.87,71.05,5.0,84.72,4.98,43.47,90.96,15.65
ESP,2006-01-01,81.44,4.96,94.0,55.64,80.3,63.67,71.03,4.98,84.8,5.06,43.37,91.01,15.52
ESP,2006-02-01,81.29,5.27,93.98,55.82,80.48,63.9,71.07,5.05,84.77,5.01,43.37,91.07,15.46
ESP,2006-03-01,80.91,5.17,94.01,56.02,80.41,63.8,71.2,4.98,84.7,4.95,43.42,91.04,15.35
ESP,2006-04-01,80.95,4.68,93.82,55.49,80.67,63.51,71.35,5.0,84.81,5.02,43.35,91.16,15.3
ESP,2006-05-01,81.12,5.2,94.03,55.71,79.85,63.77,71.24,5.02,84.71,4.95,43.36,91.17,15.1
ESP,2006-06-01,81.54,4.58,93.5,55.93,80.61,63.56,71.44,5.06,84.78,5.03,43.39,91.11,14.99
ESP,2006-07-01,80.81,4.97,93.97,55.68,80.22,63.95,71.33,5.01,84.77,4.98,43.39,91.26,14.94
ESP,2006-08-01,80.99,5.05,93.87,55.61,80.09,63.68,71.49,4.99,84.69,4.97,43.36,91.22,14.79
ESP,2006-09-01,81.21,5.26,93.87,55.66,79.87,63.97,71.47,5.01,84.79,4.98,43.33,91.31,14.62
ESP,2006-10-01,80.51,4.78,94.11,55.44,80.11,63.69,71.54,5.02,84.79,4.95,43.37,91.39,14.53
ESP,2006-11-01,81.05,4.36,93.55,55.54,79.86,63.95,71.6,4.96,84.85,5.0,43.32,91.29,14.5
ESP,2006-12-01,81.23,4.68,94.1,55.61,79.99,64.31,71.63,4.92,84.85,5.04,43.42,91.38,14.35
ESP,2007-01-01,80.65,4.9,94.06,56.03,80.22,63.82,71.61,4.88,84.84,5.0,43.32,91.48,14.23
ESP,2007-02-01,81.14,4.88,93.98,55.7,80.4,64.0,71.74,5.0,84.84,5.02,43.37,91.52,14.55
ESP,2007-03-01,81.0,5.05,94.1,55.65,79.96,64.07,71.75,5.04,84.82,4.9,43.36,91.54,14.65
ESP,2007-04-01,81.31,4.99,93.46,55.84,80.27,64.17,71.79,5.03,84.83,5.05,43.34,91.58,14.8
ESP,2007-05-01,80.98,4.71,93.99,55.81,80.1,64.1,71.8,4.99,84.71,5.06,43.38,91.64,15.11
ESP,2007-06-01,80.95,5.1,93.63,55.61,80.41,64.11,71.83,4.99,84.74,5.07,43.43,91.62,15.19
ESP,2007-07-01,81.63,5.02,93.9,55.44,80.72,64.24,71.99,5.03,84.73,5.02,43.27,91.76,15.41
ESP,2007-08-01,80.86,4.76,94.04,55.4,80.37,64.24,71.94,4.99,84.82,4.94,43.38,91.79,15.56
ESP,2007-09-01,81.63,4.88,93.82,55.29,80.87,64.06,72.01,5.07,84.84,4.96,43.35,91.81,15.85
ESP,2007-10-01,81.78,5.24,93.4,55.61,80.27,64.05,72.06,5.01,84.81,5.03,43.28,91.91,15.97
ESP,2007-11-01,81.43,4.65,93.8,55.37,80.75,64.39,72.19,4.96,84.79,5.05,43.33,91.99,16.22
ESP,2007-12-01,81.61,4.99,94.2,55.47,80.79,64.54,72.19,5.05,84.79,4.97,43.37,91.9,16.42
ESP,2008-01-01,81.75,4.22,93.91,55.64,80.7,64.78,72.16,5.0,84.63,5.03,43.36,92.05,16.6
ESP,2008-02-01,82.21,5.06,93.59,55.67,80.76,64.74,72.2,5.05,84.82,4.98,43.41,92.1,15.9
ESP,2008-03-01,82.45,5.35,94.15,55.68,80.42,64.4,72.33,5.0,84.8,4.91,43.37,92.07,15.28
ESP,2008-04-01,82.0,5.1,93.65,55.2,80.45,64.56,72.31,4.99,84.7,5.06,43.36,92.22,14.64
ESP,2008-05-01,81.78,4.66,94.34,55.61,81.2,64.88,72.42,4.94,84.77,5.0,43.4,92.2,13.96
ESP,2008-06-01,81.95,5.1,93.96,55.77,80.86,65.19,72.44,5.06,84.81,4.99,43.44,92.31,13.32
ESP,2008-07-01,81.85,4.96,93.95,55.7,80.96,64.68,72.46,5.03,84.72,4.97,43.42,92.32,12.62
ESP,2008-08-01,82.28,4.94,94.04,55.7,81.04,64.46,72.45,4.92,84.76,5.05,43.33,92.5,11.98
ESP,2008-09-01,81.72,5.12,94.21,55.64,81.05,64.44,72.55,4.99,84.82,4.95,43.36,92.46,11.36
ESP,2008-10-01,82.06,4.72,93.99,55.78,81.01,64.97,72.73,4.97,84.82,4.99,43.41,92.57,10.62
ESP,2008-11-01,81.95,5.32,94.36,55.4,81.01,64.73,72.7,4.97,84.82,5.04,43.32,92.65,9.98
ESP,2008-12-01,82.06,5.02,93.83,56.43,80.76,64.87,72.73,5.04,84.79,4.98,43.5,92.72,9.38
ESP,2009-01-01,82.51,5.08,93.93,55.82,80.83,64.81,72.73,5.05,84.78,4.99,43.52,92.77,8.61
ESP,2009-02-01,81.75,4.64,94.17,55.75,80.67,64.75,72.76,5.04,84.76,4.97,43.35,92.83,8.85
ESP,2009-03-01,82.25,5.19,93.95,55.6,81.34,65.04,72.91,4.92,84.79,5.02,43.3,92.88,9.21
ESP,2009-04-01,81.81,5.07,93.83,56.23,80.73,64.61,72.84,4.97,84.79,4.84,43.39,92.91,9.43
ESP,2009-05-01,81.78,5.14,94.01,55.51,81.64,65.22,73.01,5.05,84.65,5.01,43.36,93.01,9.77
ESP,2009-06-01,81.69,5.21,93.92,55.98,81.67,64.93,73.03,5.02,84.66,4.99,43.4,93.16,9.95
ESP,2009-07-01,82.42,4.5,93.88,55.79,81.48,64.6,73.01,5.12,84.77,5.0,43.4,93.25,10.21
ESP,2009-08-01,82.67,5.19,94.31,55.92,81.21,65.09,73.02,4.97,84.71,4.91,43.39,93.15,10.56
ESP,2009-09-01,82.55,4.97,94.1,55.44,80.96,65.27,73.04,5.02,84.78,4.98,43.38,93.26,10.68
ESP,2009-10-01,82.34,4.51,94.24,56.15,81.48,64.9,73.08,5.05,84.72,4.96,43.39,93.34,11.01
ESP,2009-11-01,82.78,4.84,93.84,56.39,81.12,64.56,73.13,5.04,84.78,4.88,43.37,93.42,11.35
ESP,2009-12-01,82.29,4.83,94.08,55.42,80.88,65.34,73.24,5.01,84.78,4.98,43.37,93.52,11.53
ESP,2010-01-01,82.44,5.46,94.12,55.78,81.06,64.98,73.22,5.03,84.79,5.02,43.38,93.52,11.9
ESP,2010-02-01,82.02,4.87,94.57,55.8,81.33,64.6,73.23,4.9,84.72,5.01,43.4,93.52,11.84
ESP,2010-03-01,82.44,5.51,94.27,55.86,80.86,65.05,73.33,4.91,84.79,5.07,43.42,93.52,11.79
ESP,2010-04-01,82.54,5.1,94.45,56.12,81.17,65.33,73.35,4.96,84.68,4.99,43.45,93.59,11.8
ESP,2010-05-01,82.09,5.1,94.11,55.54,81.11,65.16,73.25,4.88,84.84,4.94,43.42,93.69,11.93
ESP,2010-06-01,81.88,4.93,94.35,55.92,80.9,64.86,73.31,5.02,84.75,5.06,43.43,93.63,11.84
ESP,2010-07-01,81.74,5.2,94.24,55.84,81.11,64.77,73.19,4.97,84.73,5.0,43.38,93.76,11.84
ESP,2010-08-01,82.6,4.73,94.89,55.82,80.92,64.88,73.37,5.06,84.74,5.04,43.41,93.64,11.9
ESP,2010-09-01,82.36,4.87,94.42,56.06,81.64,65.0,73.23,4.96,84.77,5.08,43.4,93.72,11.79
ESP,2010-10-01,82.05,5.27,94.3,55.79,80.48,64.66,73.33,4.98,84.69,5.04,43.39,93.76,11.79
ESP,2010-11-01,82.28,5.18,93.91,56.01,81.04,65.28,73.31,5.03,84.82,4.99,43.44,93.82,11.84
ESP,2010-12-01,82.37,4.77,94.21,55.88,81.02,65.5,73.36,5.03,84.8,5.07,43.4,93.91,11.84
ESP,2011-01-01,82.07,4.64,94.64,55.85,80.69,65.02,73.24,4.89,84.76,5.0,43.32,93.87,11.87
ESP,2011-02-01,82.01,4.6,94.28,55.75,80.96,65.26,73.35,5.06,84.84,5.0,43.4,93.9,11.81
ESP,2011-03-01,81.47,4.72,94.08,56.04,80.3,64.89,73.34,4.99,84.8,4.91,43.35,93.84,11.77
ESP,2011-04-01,81.5,5.26,94.09,55.77,80.61,64.47,73.26,4.94,84.79,5.04,43.39,93.97,11.81
ESP,2011-05-01,81.43,4.83,94.08,56.38,80.24,65.02,73.27,4.98,84.69,4.97,43.37,94.06,11.81
ESP,2011-06-01,81.69,4.95,94.58,55.6,80.6,64.78,73.29,5.02,84.74,5.04,43.5,94.11,11.8
ESP,2011-07-01,81.13,5.3,94.18,56.19,80.08,64.92,73.26,5.01,84.81,5.06,43.37,94.08,11.83
ESP,2011-08-01,80.71,5.09,93.77,55.9,80.27,64.6,73.19,4.99,84.83,4.88,43.5,94.03,11.84
ESP,2011-09-01,80.74,4.72,93.85,55.91,80.2,64.53,73.23,4.93,84.79,5.02,43.47,94.15,11.88
ESP,2011-10-01,80.65,4.84,94.28,55.86,80.22,64.49,73.3,4.97,84.79,4.97,43.46,94.18,11.8
ESP,2011-11-01,80.43,5.07,94.57,55.64,80.32,64.16,73.33,4.98,84.8,5.05,43.39,94.23,11.83
ESP,2011-12-01,80.52,5.4,94.26,55.45,79.82,64.07,73.27,5.02,84.82,4.94,43.37,94.2,11.84
ESP,2012-01-01,79.99,4.95,94.06,55.64,79.98,64.12,73.38,4.99,84.8,5.16,43.38,94.2,11.84
ESP,2012-02-01,79.69,5.15,94.13,54.69,79.32,64.41,73.26,4.98,84.79,4.95,43.09,94.17,11.74
ESP,2012-03-01,79.4,5.15,94.78,54.31,78.42,63.69,73.32,4.92,84.82,4.99,42.81,94.34,11.8
ESP,2012-04-01,79.69,4.82,94.29,53.56,79.04,63.74,73.3,5.04,84.76,4.92,42.5,94.47,11.86
ESP,2012-05-01,79.11,4.88,93.71,52.29,78.6,63.57,73.3,5.01,84.72,4.97,42.26,94.51,11.81
ESP,2012-06-01,78.96,5.18,94.33,52.04,79.06,63.14,73.28,5.04,84.8,5.0,41.88,94.54,11.86
ESP,2012-07-01,78.64,4.76,94.24,51.24,78.07,63.1,73.23,4.94,84.75,5.0,41.65,94.67,11.9
ESP,2012-08-01,78.98,4.9,94.27,50.3,77.82,63.17,73.28,4.93,84.8,5.05,41.17,94.56,11.75
ESP,2012-09-01,78.36,4.93,94.65,49.73,77.32,63.32,73.2,4.93,84.71,5.0,40.98,94.64,11.8
ESP,2012-10-01,78.18,5.08,94.15,48.67,78.01,62.73,73.22,4.98,84.83,5.03,40.75,94.77,11.76
ESP,2012-11-01,78.12,4.99,94.25,47.89,77.03,62.98,73.33,5.07,84.75,5.01,40.37,94.79,11.83
ESP,2012-12-01,78.18,5.49,94.24,47.03,76.93,62.7,73.28,5.06,84.75,5.07,40.1,94.78,11.81
ESP,2013-01-01,77.84,4.64,94.02,46.27,76.59,62.6,73.29,4.94,84.7,5.02,39.79,94.93,11.81
ESP,2013-02-01,77.56,5.0,94.4,46.54,76.49,62.82,73.26,5.07,84.8,4.99,39.8,94.85,11.81
ESP,2013-03-01,77.66,5.18,94.33,46.82,77.05,62.35,73.28,4.94,84.75,5.01,39.81,94.97,11.71
ESP,2013-04-01,77.57,5.03,94.45,46.66,76.51,62.13,73.24,5.06,84.73,5.05,39.88,94.96,11.77
ESP,2013-05-01,77.85,4.9,94.42,47.45,77.06,62.21,73.28,5.02,84.76,4.97,39.75,95.03,11.79
ESP,2013-06-01,77.7,5.09,94.17,48.23,76.77,62.39,73.23,5.03,84.81,5.0,39.8,95.03,11.8
ESP,2013-07-01,77.79,4.88,94.8,47.84,76.76,62.67,73.31,4.96,84.77,5.0,39.91,95.0,11.89
ESP,2013-08-01,77.27,5.0,93.91,47.57,76.67,63.05,73.25,5.06,84.84,4.95,39.82,95.03,11.8
ESP,2013-09-01,77.19,4.73,94.5,47.93,76.86,62.56,73.34,4.96,84.72,4.95,39.86,95.18,11.86
ESP,2013-10-01,77.64,5.04,94.62,48.3,76.94,62.76,73.24,5.09,84.83,5.08,39.77,95.17,11.94
ESP,2013-11-01,78.11,4.69,94.45,48.85,76.11,62.51,73.2,5.04,84.8,4.97,39.85,95.26,11.84
ESP,2013-12-01,77.75,4.93,94.43,49.23,76.48,62.58,73.34,5.04,84.69,4.98,39.84,95.15,11.76
ESP,2014-01-01,77.33,5.23,94.05,49.1,77.0,62.67,73.33,4.99,84.8,5.0,39.84,95.26,11.84
ESP,2014-02-01,77.27,5.09,94.44,48.91,76.13,62.28,73.22,5.05,84.78,5.09,39.8,95.18,11.81
ESP,2014-03-01,77.39,4.96,94.0,49.35,76.37,62.04,73.26,4.99,84.81,5.02,39.76,95.27,11.78
ESP,2014-04-01,77.29,5.46,94.26,49.31,76.48,61.95,73.31,4.98,84.76,5.01,39.83,95.14,11.8
ESP,2014-05-01,76.9,4.76,93.61,49.66,76.92,61.45,73.25,5.01,84.74,4.99,39.9,95.07,11.82
ESP,2014-06-01,76.76,4.77,94.2,49.64,76.35,61.99,73.29,5.02,84.84,4.94,39.84,95.15,11.74
ESP,2014-07-01,77.01,5.17,94.25,49.27,76.06,61.87,73.24,5.08,84.77,4.98,39.88,95.13,11.85
ESP,2014-08-01,76.26,4.53,94.0,49.82,76.5,61.61,73.32,5.0,84.83,5.0,39.83,95.15,11.8
ESP,2014-09-01,76.56,5.04,93.71,49.07,75.69,61.7,73.22,5.08,84.78,5.06,39.89,95.11,11.79
ESP,2014-10-01,76.06,4.79,93.69,49.27,75.96,62.17,73.29,5.08,84.74,5.02,39.96,95.1,11.77
ESP,2014-11-01,75.95,5.36,93.79,49.33,75.83,61.23,73.31,4.94,84.83,4.93,39.84,95.15,11.89
ESP,2014-12-01,75.98,4.68,93.53,49.37,75.5,61.58,73.23,4.96,84.71,5.01,39.82,95.11,11.77
ESP,2015-01-01,75.54,5.22,93.18,49.4,75.49,61.37,73.28,4.93,84.75,5.02,39.75,95.03,11.86
ESP,2015-02-01,75.76,4.46,93.86,49.12,75.55,60.97,73.26,4.99,84.75,4.99,39.79,95.07,11.8
ESP,2015-03-01,75.97,5.2,93.5,47.92,75.8,60.64,73.24,4.99,84.8,5.07,39.87,95.26,11.78
ESP,2015-04-01,76.15,5.28,94.17,47.54,75.49,61.03,73.27,4.92,84.77,5.02,39.85,95.08,11.9
ESP,2015-05-01,76.02,5.4,93.96,46.96,75.24,60.87,73.26,4.98,84.74,4.94,39.81,95.27,11.8
ESP,2015-06-01,76.11,4.94,94.06,46.31,75.54,61.02,73.26,5.03,84.81,5.05,39.76,95.19,11.86
ESP,2015-07-01,76.4,5.0,94.09,45.08,75.6,60.49,73.27,4.96,84.79,5.04,39.83,95.26,11.83
ESP,2015-08-01,76.06,5.09,93.98,45.29,75.29,60.95,73.3,4.99,84.81,5.0,39.88,95.24,11.81
ESP,2015-09-01,76.31,5.26,93.96,44.18,75.24,60.72,73.19,4.97,84.7,5.05,39.79,95.32,11.83
ESP,2015-10-01,76.92,5.17,93.27,43.59,74.86,60.84,73.29,5.08,84.75,5.02,39.91,95.39,11.86
ESP,2015-11-01,76.16,5.26,94.09,42.67,75.13,60.71,73.28,5.01,84.81,4.93,39.91,95.41,11.87
ESP,2015-12-01,76.4,5.06,94.13,41.96,75.02,60.02,73.33,5.0,84.81,5.03,39.82,95.37,11.83
ESP,2016-01-01,76.96,4.93,94.37,41.19,75.11,60.61,73.25,4.9,84.69,5.08,39.76,95.47,11.85
ESP,2016-02-01,76.29,5.16,93.88,42.06,74.52,60.14,73.33,5.03,84.81,5.02,39.8,95.47,11.75
ESP,2016-03-01,76.41,4.62,93.85,42.37,74.71,60.16,73.24,5.0,84.75,4.96,39.87,95.45,11.83
ESP,2016-04-01,76.02,4.73,94.43,42.83,74.56,59.49,73.26,4.94,84.82,5.0,39.81,95.58,11.79
ESP,2016-05-01,76.21,5.4,94.19,44.01,74.11,60.12,73.3,4.94,84.77,4.94,39.77,95.57,11.72
ESP,2016-06-01,76.11,4.85,93.7,44.45,74.32,59.9,73.25,5.04,84.72,5.02,39.83,95.57,11.87
ESP,2016-07-01,76.02,5.35,93.79,45.35,74.29,59.24,73.39,4.95,84.83,5.04,39.77,95.64,11.8
ESP,2016-08-01,75.86,5.22,93.64,45.59,73.99,58.97,73.37,4.92,84.84,5.07,39.81,95.56,11.8
ESP,2016-09-01,76.38,4.68,93.35,46.48,73.49,59.41,73.34,5.01,84.76,4.96,39.83,95.54,11.81
ESP,2016-10-01,76.2,5.02,92.85,46.93,73.5,59.2,73.3,4.96,84.86,4.93,39.85,95.59,11.82
ESP,2016-11-01,75.57,5.08,93.38,47.47,73.31,58.85,73.26,4.96,84.8,4.99,39.8,95.57,11.76
ESP,2016-12-01,75.58,5.18,93.01,47.75,73.0,59.07,73.41,4.96,84.78,5.0,39.81,95.61,11.81
ESP,2017-01-01,75.47,4.98,93.46,48.84,73.12,58.65,73.27,5.0,84.8,4.96,39.85,95.64,11.77
ESP,2017-02-01,75.79,4.95,93.22,48.65,73.01,58.24,73.41,5.04,84.77,5.02,39.89,95.65,11.73
ESP,2017-03-01,76.45,5.2,93.1,48.61,73.3,59.17,73.35,5.07,84.71,5.0,39.81,95.68,11.8
ESP,2017-04-01,76.29,4.98,93.69,48.37,73.74,59.56,73.33,5.03,84.74,5.04,39.82,95.75,11.76
ESP,2017-05-01,76.36,5.16,93.68,48.53,74.34,59.51,73.23,5.03,84.76,4.94,39.82,95.71,11.9
ESP,2017-06-01,76.44,5.32,93.26,48.73,74.23,59.03,73.23,5.1,84.83,5.12,39.72,95.59,11.86
ESP,2017-07-01,76.77,5.08,93.34,48.41,74.78,59.45,73.31,5.02,84.74,5.05,39.85,95.69,11.71
